id,num_nodes,num_edges,avg_degree,num_components,avg_shortest_path,diameter,radius,center_size,periphery_size,center_frac,periphery_frac
1,69.0,220.0,6.3768115942028984,1.0,2.955242966751918,6.0,4.0,22.0,4.0,0.3188405797101449,0.057971014492753624
2,103.0,348.0,6.757281553398058,1.0,3.1941747572815533,7.0,4.0,7.0,6.0,0.06796116504854369,0.05825242718446602
3,32.0,91.0,5.6875,1.0,2.3850806451612905,5.0,3.0,4.0,6.0,0.125,0.1875
4,281.0,1136.0,8.08540925266904,1.0,3.363980681240468,7.0,4.0,3.0,18.0,0.010676156583629894,0.06405693950177936
5,157.0,730.0,9.299363057324841,1.0,2.848276988404377,6.0,4.0,63.0,9.0,0.4012738853503185,0.05732484076433121
6,108.0,378.0,7.0,1.0,3.026479750778816,6.0,4.0,20.0,8.0,0.18518518518518517,0.07407407407407407
7,437.0,1698.0,7.77116704805492,1.0,3.861293640963198,8.0,5.0,4.0,29.0,0.009153318077803204,0.06636155606407322
8,204.0,809.0,7.931372549019608,1.0,3.369651308799382,8.0,5.0,65.0,2.0,0.31862745098039214,0.00980392156862745
9,248.0,1004.0,8.096774193548388,1.0,3.4326759827608724,7.0,5.0,106.0,14.0,0.4274193548387097,0.056451612903225805
10,678.0,2795.0,8.244837758112094,1.0,4.139728020984475,11.0,6.0,8.0,14.0,0.011799410029498525,0.02064896755162242
11,411.0,1590.0,7.737226277372263,1.0,3.8684232389769155,8.0,5.0,3.0,35.0,0.0072992700729927005,0.0851581508515815
12,581.0,2805.0,9.655765920826163,1.0,3.6241260608938215,8.0,5.0,60.0,6.0,0.10327022375215146,0.010327022375215147
13,652.0,2350.0,7.208588957055214,1.0,4.307134846814245,9.0,6.0,69.0,19.0,0.1058282208588957,0.029141104294478526
14,562.0,2688.0,9.565836298932384,1.0,3.6485432089367613,7.0,5.0,58.0,78.0,0.10320284697508897,0.1387900355871886
15,1062.0,4391.0,8.269303201506592,1.0,4.087812904359494,9.0,6.0,227.0,12.0,0.2137476459510358,0.011299435028248588
16,778.0,3462.0,8.899742930591259,1.0,3.964708373448733,10.0,6.0,52.0,9.0,0.06683804627249357,0.011568123393316195
17,1218.0,5337.0,8.763546798029557,1.0,3.9774729374366697,9.0,6.0,198.0,23.0,0.1625615763546798,0.018883415435139574
18,284.0,1189.0,8.373239436619718,1.0,3.251828995172448,6.0,4.0,9.0,43.0,0.03169014084507042,0.15140845070422534
19,492.0,2096.0,8.520325203252032,1.0,3.81031742089315,9.0,5.0,9.0,2.0,0.018292682926829267,0.0040650406504065045
20,910.0,4075.0,8.956043956043956,1.0,3.969213844461369,10.0,5.0,1.0,2.0,0.001098901098901099,0.002197802197802198
21,377.0,1531.0,8.122015915119363,1.0,3.7273265985665107,8.0,5.0,7.0,22.0,0.01856763925729443,0.058355437665782495
22,612.0,2449.0,8.00326797385621,1.0,4.263614774878855,10.0,6.0,14.0,15.0,0.02287581699346405,0.024509803921568627
23,667.0,2897.0,8.686656671664167,1.0,3.828995412203808,8.0,5.0,19.0,19.0,0.02848575712143928,0.02848575712143928
24,849.0,3003.0,7.074204946996466,1.0,5.160769051270084,12.0,7.0,20.0,9.0,0.023557126030624265,0.01060070671378092
25,790.0,2567.0,6.49873417721519,1.0,4.514841732043445,10.0,6.0,16.0,4.0,0.020253164556962026,0.005063291139240506
26,551.0,2066.0,7.499092558983666,1.0,4.558581092229005,10.0,6.0,14.0,7.0,0.025408348457350273,0.012704174228675136
27,1152.0,2530.0,4.392361111111111,1.0,6.554541944203108,16.0,9.0,1.0,5.0,0.0008680555555555555,0.004340277777777778
28,1136.0,4715.0,8.30105633802817,1.0,4.203237264999689,10.0,6.0,104.0,2.0,0.09154929577464789,0.0017605633802816902
29,569.0,2534.0,8.906854130052723,1.0,3.8653803311963166,9.0,6.0,143.0,7.0,0.2513181019332162,0.012302284710017574
30,718.0,2740.0,7.632311977715878,1.0,3.973116086448099,10.0,5.0,2.0,4.0,0.002785515320334262,0.005571030640668524
31,728.0,1635.0,4.491758241758242,1.0,7.469496803059389,16.0,9.0,2.0,7.0,0.0027472527472527475,0.009615384615384616
32,853.0,3440.0,8.065650644783119,1.0,3.9991744134207354,9.0,6.0,202.0,10.0,0.23681125439624853,0.011723329425556858
33,1974.0,4833.0,4.896656534954407,1.0,5.486454162603454,14.0,8.0,17.0,6.0,0.008611955420466059,0.00303951367781155
34,1605.0,5748.0,7.162616822429906,1.0,4.7126047808826845,11.0,6.0,1.0,8.0,0.0006230529595015577,0.004984423676012461
35,851.0,3151.0,7.405405405405405,1.0,4.015328679062694,9.0,5.0,2.0,4.0,0.0023501762632197414,0.004700352526439483
36,2152.0,7986.0,7.421933085501859,1.0,4.915449976582172,11.0,7.0,140.0,7.0,0.06505576208178439,0.0032527881040892194
37,358.0,694.0,3.877094972067039,1.0,5.413063549442123,13.0,7.0,5.0,4.0,0.013966480446927373,0.0111731843575419
38,521.0,1925.0,7.389635316698657,1.0,3.8798612136424038,9.0,5.0,7.0,2.0,0.013435700575815739,0.003838771593090211
39,987.0,3915.0,7.933130699088146,1.0,4.095028473605143,10.0,6.0,125.0,2.0,0.12664640324214793,0.002026342451874367
40,1996.0,8522.0,8.539078156312625,1.0,4.382691699187849,10.0,6.0,14.0,22.0,0.0070140280561122245,0.011022044088176353
41,2064.0,8646.0,8.377906976744185,1.0,4.485328433417128,9.0,6.0,35.0,66.0,0.01695736434108527,0.03197674418604651
42,1405.0,4931.0,7.019217081850534,1.0,4.399206131946346,11.0,6.0,3.0,4.0,0.002135231316725979,0.0028469750889679717
43,1638.0,5242.0,6.400488400488401,1.0,4.897761099960245,11.0,7.0,72.0,6.0,0.04395604395604396,0.003663003663003663
44,1127.0,5096.0,9.043478260869565,1.0,4.159380363466724,10.0,6.0,84.0,2.0,0.07453416149068323,0.001774622892635315
45,921.0,2745.0,5.960912052117264,1.0,4.9301893027427655,12.0,7.0,23.0,6.0,0.0249728555917481,0.006514657980456026
46,1519.0,5749.0,7.569453587886768,1.0,4.2687747035573125,12.0,6.0,1.0,3.0,0.0006583278472679394,0.0019749835418038184
47,985.0,4378.0,8.889340101522842,1.0,4.904597416532541,11.0,6.0,4.0,6.0,0.0040609137055837565,0.006091370558375634
48,1171.0,4990.0,8.52263023057216,1.0,4.194444079499587,8.0,6.0,252.0,152.0,0.215200683176772,0.12980358667805295
49,1877.0,7031.0,7.491742141715504,1.0,5.836077054411328,15.0,8.0,13.0,7.0,0.006925945657964837,0.0037293553542887587
50,2539.0,10455.0,8.235525797558093,1.0,4.559388278862356,10.0,6.0,14.0,6.0,0.005513981882630957,0.0023631350925561244
51,676.0,1665.0,4.92603550295858,1.0,5.249870699101469,12.0,7.0,11.0,4.0,0.016272189349112426,0.005917159763313609
52,1719.0,5438.0,6.326934264107039,1.0,5.0309910261333135,11.0,7.0,110.0,5.0,0.06399069226294357,0.0029086678301337987
53,579.0,1510.0,5.215889464594127,1.0,5.465795339775655,15.0,8.0,20.0,2.0,0.03454231433506045,0.0034542314335060447
54,1035.0,3037.0,5.868599033816425,1.0,5.048688550631196,12.0,7.0,31.0,2.0,0.02995169082125604,0.001932367149758454
55,331.0,800.0,4.833836858006042,1.0,4.758491256980683,12.0,7.0,10.0,2.0,0.030211480362537766,0.006042296072507553
56,444.0,1393.0,6.274774774774775,1.0,4.177485612022858,11.0,6.0,29.0,3.0,0.06531531531531531,0.006756756756756757
57,1180.0,3480.0,5.898305084745763,1.0,6.212104483834333,16.0,8.0,1.0,4.0,0.000847457627118644,0.003389830508474576
58,1703.0,5605.0,6.582501467997651,1.0,5.554046808942262,15.0,8.0,2.0,3.0,0.0011743981209630064,0.0017615971814445098
59,971.0,3339.0,6.877445932028836,1.0,4.657039718857167,10.0,6.0,5.0,15.0,0.005149330587023687,0.015447991761071062
60,1131.0,3700.0,6.542882404951371,1.0,5.267441296370195,13.0,7.0,2.0,12.0,0.0017683465959328027,0.010610079575596816
61,1710.0,4399.0,5.145029239766082,1.0,5.9986182542371145,16.0,9.0,29.0,2.0,0.01695906432748538,0.0011695906432748538
62,1040.0,2737.0,5.263461538461539,1.0,5.351106833493744,12.0,7.0,4.0,7.0,0.0038461538461538464,0.006730769230769231
63,96.0,282.0,5.875,1.0,3.4486842105263156,8.0,5.0,13.0,4.0,0.13541666666666666,0.041666666666666664
64,694.0,2861.0,8.244956772334294,1.0,3.8166805976604246,8.0,5.0,9.0,15.0,0.012968299711815562,0.021613832853025938
65,557.0,1869.0,6.710951526032316,1.0,4.240380765405629,10.0,6.0,10.0,7.0,0.017953321364452424,0.012567324955116697
66,644.0,2865.0,8.897515527950311,1.0,3.6454459395496652,8.0,5.0,7.0,13.0,0.010869565217391304,0.020186335403726708
67,439.0,913.0,4.159453302961276,1.0,5.747111014031475,14.0,8.0,9.0,5.0,0.02050113895216401,0.011389521640091117
68,1385.0,3871.0,5.589891696750903,1.0,5.493449635859018,13.0,8.0,89.0,4.0,0.06425992779783393,0.002888086642599278
69,891.0,3678.0,8.255892255892256,1.0,4.190342879481456,9.0,6.0,106.0,24.0,0.11896745230078563,0.026936026936026935
70,76.0,344.0,9.052631578947368,1.0,2.4789473684210526,5.0,3.0,13.0,6.0,0.17105263157894737,0.07894736842105263
71,74.0,358.0,9.675675675675675,1.0,2.5616438356164384,6.0,3.0,4.0,7.0,0.05405405405405406,0.0945945945945946
72,352.0,1398.0,7.943181818181818,1.0,3.7750097125097124,8.0,5.0,11.0,28.0,0.03125,0.07954545454545454
73,1630.0,6813.0,8.359509202453987,1.0,4.414421132314228,10.0,6.0,11.0,9.0,0.006748466257668712,0.005521472392638037
74,654.0,1677.0,5.128440366972477,1.0,4.73066205843648,11.0,7.0,135.0,5.0,0.20642201834862386,0.00764525993883792
75,994.0,4396.0,8.845070422535212,1.0,4.051722216481163,10.0,6.0,198.0,2.0,0.19919517102615694,0.002012072434607646
76,43.0,185.0,8.604651162790697,1.0,2.071982281284607,4.0,3.0,34.0,9.0,0.7906976744186046,0.20930232558139536
77,25.0,106.0,8.48,1.0,1.7933333333333332,3.0,2.0,4.0,21.0,0.16,0.84
78,430.0,1333.0,6.2,1.0,4.206266601615439,10.0,6.0,48.0,2.0,0.11162790697674418,0.004651162790697674
79,1190.0,4154.0,6.981512605042017,1.0,4.494372080202981,11.0,7.0,221.0,2.0,0.18571428571428572,0.0016806722689075631
80,594.0,1745.0,5.875420875420875,1.0,4.8697883841222795,12.0,7.0,6.0,5.0,0.010101010101010102,0.008417508417508417
81,1290.0,3795.0,5.883720930232558,1.0,4.875050065852382,13.0,7.0,1.0,3.0,0.0007751937984496124,0.002325581395348837
82,921.0,4020.0,8.729641693811075,1.0,3.8328305716848416,9.0,5.0,1.0,14.0,0.0010857763300760044,0.01520086862106406
83,1260.0,3583.0,5.6873015873015875,1.0,5.087460443536695,12.0,7.0,13.0,5.0,0.010317460317460317,0.003968253968253968
84,1545.0,4003.0,5.181877022653722,1.0,7.454972584134011,19.0,10.0,10.0,2.0,0.006472491909385114,0.0012944983818770227
